"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
14,"Coco Chanel & Igor Stravinsky","Fra","43426","Soda",-18,2,44,986,147860,"2010-08-15",2010,32,"2010-32"
15,"Gainsbourg","Fra/Usa","41128","Optimum",-53,3,34,1209,465332,"2010-08-15",2010,32,"2010-32"
18,"Le Refuge","Fra","13808","Artificial Eye",0,1,13,1062,13808,"2010-08-15",2010,32,"2010-32"
19,"Five Easy Pieces","USA","10970","Park Circus",0,1,8,1371,10970,"2010-08-15",2010,32,"2010-32"
23,"Nanny McPhee and the Big Bang","UK/USA","9009","Universal",-15,21,67,134,16460428,"2010-08-15",2010,32,"2010-32"
28,"Black Dynamite","USA","6400","Icon",0,1,8,800,6400,"2010-08-15",2010,32,"2010-32"
33,"London River","UK/Fra/Algeria","4097","Trinity",22,6,6,682,79434,"2010-08-15",2010,32,"2010-32"
50,"The Ghost","Fra/Ger/UK","854","Optimum",-38,18,1,854,4075697,"2010-08-15",2010,32,"2010-32"
52,"Down Terrace","UK","783","Metrodome",-63,3,2,391,7230,"2010-08-15",2010,32,"2010-32"
63,"The Final","USA","228","Chelsea Films",0,1,1,228,228,"2010-08-15",2010,32,"2010-32"
1,"The Expendables","USA","3935700","Lions Gate",0,1,453,8688,3935700,"2010-08-22",2010,33,"2010-33"
2,"Salt","USA","2166715","Sony Pictures",0,1,346,6262,2166715,"2010-08-22",2010,33,"2010-33"
3,"Toy Story 3","USA","2107815","Disney",-33,5,557,3784,63848415,"2010-08-22",2010,33,"2010-33"
4,"Piranha 3-D","USA","1325324","Entertainment",0,1,354,3743,1325324,"2010-08-22",2010,33,"2010-33"
5,"Marmaduke","USA","1243789","20th Century Fox",0,1,377,3299,1243789,"2010-08-22",2010,33,"2010-33"
6,"Inception","USA/UK","1076106","Warner Bros",-36,6,419,2568,31575347,"2010-08-22",2010,33,"2010-33"
7,"Knight & Day","USA","825692","20th Century Fox",-46,3,432,1911,7953038,"2010-08-22",2010,33,"2010-33"
8,"The Last Airbender","USA","591587","Paramount",-64,2,440,1344,3314618,"2010-08-22",2010,33,"2010-33"
9,"Step Up 3","USA","511366","Universal",-53,3,350,1461,6639581,"2010-08-22",2010,33,"2010-33"
10,"The Sorcerer's Apprentice","USA","444112","Disney",-61,2,393,1130,2374760,"2010-08-22",2010,33,"2010-33"
11,"Karate Kid","USA/China","382276","Sony Pictures",-50,4,369,1035,11613244,"2010-08-22",2010,33,"2010-33"
12,"The A-Team","USA","333549","20th Century Fox",-56,4,336,992,9835019,"2010-08-22",2010,33,"2010-33"
13,"Cats & Dogs: Revenge of Kitty Galore","USA/Aus","194751","Warner Bros",-60,3,363,536,3972149,"2010-08-22",2010,33,"2010-33"
14,"Tinker Bell and the Great Fairy Rescue","USA","182928","Disney",-37,2,235,778,749661,"2010-08-22",2010,33,"2010-33"
15,"The Illusionist","UK/Fra","164950","Warner Bros",0,1,42,3927,164950,"2010-08-22",2010,33,"2010-33"
19,"Nanny McPhee and the Big Bang","UK/USA","24023","Universal",167,22,127,189,16484799,"2010-08-22",2010,33,"2010-33"
21,"Naan Mahaan Alla","Ind","17508","Ayngaran",0,1,6,2918,17508,"2010-08-22",2010,33,"2010-33"
23,"Lafangey Parindey","Ind","16138","Yash Raj",0,1,10,1613,16138,"2010-08-22",2010,33,"2010-33"
24,"Mother","S.Kor","14670","ICO/Optimum",0,1,11,1333,14670,"2010-08-22",2010,33,"2010-33"
29,"The Human Centipede","Neth","6145","Bounty Films",0,1,14,438,6145,"2010-08-22",2010,33,"2010-33"
39,"Pianomania","Austria/Ger","2211","More2Screen",0,1,10,221,2211,"2010-08-22",2010,33,"2010-33"
45,"London River","UK/Fra/Algeria","1408","Trinity",-66,7,3,469,87149,"2010-08-22",2010,33,"2010-33"
54,"Went the Day Well","UK","621","BFI",389,7,2,310,16886,"2010-08-22",2010,33,"2010-33"
1,"Grown Ups","USA","2006945","Sony Pictures",0,1,401,5004,2006945,"2010-08-29",2010,34,"2010-34"
2,"Scott Pilgrim vs. The World","USA","1604545","Universal",0,1,408,3932,1604545,"2010-08-29",2010,34,"2010-34"
3,"Toy Story 3","USA","1499524","Disney",-29,6,526,2850,67593215,"2010-08-29",2010,34,"2010-34"
4,"The Expendables","USA","1311381","Lions Gate",-67,2,453,2894,6816414,"2010-08-29",2010,34,"2010-34"
5,"Salt","USA","967883","Sony Pictures",-55,2,413,2343,4383618,"2010-08-29",2010,34,"2010-34"
6,"Piranha 3-D","USA","886495","Entertainment",-33,2,335,2646,3287882,"2010-08-29",2010,34,"2010-34"
7,"Inception","USA/UK","699041","Warner Bros",-35,7,339,2062,33085858,"2010-08-29",2010,34,"2010-34"
8,"Diary of a Wimpy Kid","USA","671161","20th Century Fox",0,1,372,1804,671161,"2010-08-29",2010,34,"2010-34"
9,"Avatar","USA","624106","20th Century Fox",NA,37,343,1819,92813108,"2010-08-29",2010,34,"2010-34"
10,"Marmaduke","USA","586715","20th Century Fox",-53,2,457,1283,2938461,"2010-08-29",2010,34,"2010-34"
11,"Knight & Day","USA","415015","20th Century Fox",-50,4,341,1217,9076487,"2010-08-29",2010,34,"2010-34"
12,"The Girl who Played with Fire","Swe/Den/Ger","404896","Momentum",0,1,126,3213,404896,"2010-08-29",2010,34,"2010-34"
13,"The Last Airbender","USA","317523","Paramount",-46,3,344,923,4225793,"2010-08-29",2010,34,"2010-34"
14,"Step Up 3","USA","213142","Universal",-58,4,287,742,7427221,"2010-08-29",2010,34,"2010-34"
15,"The Sorcerer's Apprentice","USA","195289","Disney",-56,3,307,636,3021068,"2010-08-29",2010,34,"2010-34"
21,"The Illusionist","UK/Fra","101717","Warner Bros",-38,2,34,2991,437492,"2010-08-29",2010,34,"2010-34"
24,"The Leopard","Ita/Fra","17482","BFI",0,1,8,2185,17482,"2010-08-29",2010,34,"2010-34"
26,"The Maid","Chile/Mex","13075","Artificial Eye",0,1,5,2615,13075,"2010-08-29",2010,34,"2010-34"
28,"Aashayein","Ind","10141","Reliance",0,1,11,921,10141,"2010-08-29",2010,34,"2010-34"
31,"Chak Jawna","Ind","9224","Reliance",0,1,8,1153,9224,"2010-08-29",2010,34,"2010-34"
34,"Dog Pound","Fra/Can","6051","Optimum",0,1,18,336,6051,"2010-08-29",2010,34,"2010-34"
44,"Nanny McPhee and the Big Bang","UK/USA","1360","Universal",-94,23,8,170,16513508,"2010-08-29",2010,34,"2010-34"
50,"London River","UK/Fra/Algeria","699","Trinity",-50,8,2,349,89430,"2010-08-29",2010,34,"2010-34"
51,"Wah Do Dem","USA","675","Network Releasing",0,1,3,225,675,"2010-08-29",2010,34,"2010-34"
62,"The Last Seven","UK","87","Metrodome",0,1,1,87,87,"2010-08-29",2010,34,"2010-34"
65,"Went the Day Well","UK","32","BFI",-95,8,1,32,17333,"2010-08-29",2010,34,"2010-34"
1,"The Last Exorcism","USA","1104856","Optimum",0,1,313,3529,1104856,"2010-09-05",2010,35,"2010-35"
2,"Dinner for Schmucks","USA","940586","Paramount",0,1,428,2197,940586,"2010-09-05",2010,35,"2010-35"
3,"Toy Story 3","USA","934423","Disney",-38,7,497,1880,69878376,"2010-09-05",2010,35,"2010-35"
4,"Grown Ups","USA","878141","Sony Pictures",-56,2,396,2217,4194010,"2010-09-05",2010,35,"2010-35"
5,"Scott Pilgrim vs. The World","USA","702542","Universal",-56,2,414,1696,3392293,"2010-09-05",2010,35,"2010-35"
6,"The Switch","USA","666018","Lions Gate",0,1,357,1865,666018,"2010-09-05",2010,35,"2010-35"
7,"The Expendables","USA","627776","Lions Gate",-52,3,404,1553,8447678,"2010-09-05",2010,35,"2010-35"
8,"Salt","USA","509319","Sony Pictures",-47,3,364,1399,5668581,"2010-09-05",2010,35,"2010-35"
9,"Piranha 3-D","USA","446895","Entertainment",-50,3,292,1530,4466428,"2010-09-05",2010,35,"2010-35"
10,"Inception","USA/UK","417302","Warner Bros",-40,8,258,1617,34055353,"2010-09-05",2010,35,"2010-35"
11,"Marmaduke","USA","364098","20th Century Fox",-38,3,428,850,4279930,"2010-09-05",2010,35,"2010-35"
12,"Diary of a Wimpy Kid","USA","307031","20th Century Fox",-54,2,365,841,1452032,"2010-09-05",2010,35,"2010-35"
13,"Avatar","USA","274145","20th Century Fox",-56,38,296,926,93442625,"2010-09-05",2010,35,"2010-35"
14,"The Girl who Played with Fire","Swe/Den/Ger","216472","Momentum",-47,2,141,1535,905389,"2010-09-05",2010,35,"2010-35"
15,"We Are Family","Ind/Aus","162863","UTV Motion Pictures",0,1,51,3193,162863,"2010-09-05",2010,35,"2010-35"
19,"Certified Copy","Fra/Ita/Iran","76703","Artificial Eye",0,1,20,3835,76703,"2010-09-05",2010,35,"2010-35"
21,"The Illusionist","UK/Fra","66160","Warner Bros",-35,3,42,1575,589302,"2010-09-05",2010,35,"2010-35"
26,"Why Did I Get Married Too?","USA","41459","Lions Gate",0,1,55,753,41459,"2010-09-05",2010,35,"2010-35"
28,"Jonah Hex","USA","36456","Warner Bros",0,1,104,350,36456,"2010-09-05",2010,35,"2010-35"
29,"Bonded by Blood","UK","25890","Revolver",0,1,38,681,25890,"2010-09-05",2010,35,"2010-35"
31,"Nanny McPhee and the Big Bang","UK/USA","11273","Universal",729,24,91,123,16524872,"2010-09-05",2010,35,"2010-35"
34,"Soul Boy","Kenya/Ger","9027","Soda",0,1,6,1504,9027,"2010-09-05",2010,35,"2010-35"
